codigo,archivo,url
C-01,C-01.png,https://zamorafter.github.io/parking-puesto/casillas/C-01/
D-01,D-01.png,https://zamorafter.github.io/parking-puesto/casillas/D-01/
E-01,E-01.png,https://zamorafter.github.io/parking-puesto/casillas/E-01/
F-01,F-01.png,https://zamorafter.github.io/parking-puesto/casillas/F-01/
G-01,G-01.png,https://zamorafter.github.io/parking-puesto/casillas/G-01/
L-01,L-01.png,https://zamorafter.github.io/parking-puesto/casillas/L-01/
C-02,C-02.png,https://zamorafter.github.io/parking-puesto/casillas/C-02/
E-02,E-02.png,https://zamorafter.github.io/parking-puesto/casillas/E-02/
F-02,F-02.png,https://zamorafter.github.io/parking-puesto/casillas/F-02/
L-02,L-02.png,https://zamorafter.github.io/parking-puesto/casillas/L-02/
B-03,B-03.png,https://zamorafter.github.io/parking-puesto/casillas/B-03/
C-03,C-03.png,https://zamorafter.github.io/parking-puesto/casillas/C-03/
E-03,E-03.png,https://zamorafter.github.io/parking-puesto/casillas/E-03/
L-03,L-03.png,https://zamorafter.github.io/parking-puesto/casillas/L-03/
M-03,M-03.png,https://zamorafter.github.io/parking-puesto/casillas/M-03/
B-04,B-04.png,https://zamorafter.github.io/parking-puesto/casillas/B-04/
C-04,C-04.png,https://zamorafter.github.io/parking-puesto/casillas/C-04/
D-04,D-04.png,https://zamorafter.github.io/parking-puesto/casillas/D-04/
E-04,E-04.png,https://zamorafter.github.io/parking-puesto/casillas/E-04/
F-04,F-04.png,https://zamorafter.github.io/parking-puesto/casillas/F-04/
G-04,G-04.png,https://zamorafter.github.io/parking-puesto/casillas/G-04/
H-04,H-04.png,https://zamorafter.github.io/parking-puesto/casillas/H-04/
J-04,J-04.png,https://zamorafter.github.io/parking-puesto/casillas/J-04/
L-04,L-04.png,https://zamorafter.github.io/parking-puesto/casillas/L-04/
M-04,M-04.png,https://zamorafter.github.io/parking-puesto/casillas/M-04/
G-05,G-05.png,https://zamorafter.github.io/parking-puesto/casillas/G-05/
H-06,H-06.png,https://zamorafter.github.io/parking-puesto/casillas/H-06/
I-07,I-07.png,https://zamorafter.github.io/parking-puesto/casillas/I-07/
